region,site,latitude_DD,longitude_DD
Panamá,Arcoiris Reef,9.268444,-82.241917
Panamá,Casa Blanca,9.359444,-82.276667
Panamá,Cayo Roldan,9.214778,-82.324556
Panamá,Crawl Cay,9.243833,-82.145139
Panamá,Finca,9.288306,-82.256778
Panamá,Isla Pastores Inside,9.234694,-82.345528
Panamá,Isla Pastores Outside,9.24,-82.3375
Panamá,Mystery Spot,9.27125,-82.298056
Panamá,Punta STRI,9.348806,-82.262861
Panamá,Seagal,9.289194,-82.295694
Florida,Conch Reef,24.96119,-80.456647
Florida,Davis Reef,24.92706,-80.505505
Florida,French Reef,25.03482,-80.347778
Florida,Molasses Reef,25.00847,-80.376266
St. Croix,BIRNM Lagoon,17.78787,-64.609955
St. Croix,BIRNM S. Forereef,17.78671,-64.608798
St. Croix,BIRNM Scuba Cut,17.78939,-64.610279
St. Croix,Cane Bay,17.77308,-64.812824
St. Croix,Long Reef,17.76148,-64.720012
St. Croix,Northstar,17.76844,-64.823126
St. Croix,Salt River,17.77988,-64.760394
St. Croix,Teague Bay,17.76112,-64.607426
Bonaire,Bachelor's Beach,12.12573,-68.288226
Bonaire,Cliff,12.17428,-68.290726
Bonaire,Karpata,12.21912,-68.352684
Bonaire,Tolo,12.21496,-68.337958